title,price,description,images,sku,stock
HW Nova 14-5G TLR-AL00 LCD ORI Full Set,RM 270.00,Description Product Specifications and Features: -HW Nova 14-5G TLR-AL00 LCD ORI Full Set -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HW-NOVA-14-LCD-ORI-FS.jpeg,SKU-QR8NS7,100
Phone 13ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星,RM 318.00,Description Product Specifications and Features: -Phone 13ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-13PM-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-51ZQAV,66
Phone 14Plus LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ华星,RM 312.00,Description Product Specifications and Features: -Phone 14Plus LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PLUS-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-Y1XGPF,54
Phone 14Pro LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星,RM 354.00,Description Product Specifications and Features: -Phone 14Pro LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PRO-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-EUD6RS,97
Phone 14ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星,RM 354.00,Description Product Specifications and Features: -Phone 14ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-14PM-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-AWQZ8P,75
Phone 15 LCD GX OLED Full Set (Support Move IC),RM 318.00,Description Product Specifications and Features: -Phone 15 LCD GX OLED Full Set (Support Move IC) -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15-LCD-GX-OLED-FS.jpeg,SKU-WS50SI,63
Phone 15Plus LCD GX OLED Full Set (Support Move IC),RM 318.00,Description Product Specifications and Features: -Phone 15Plus LCD GX OLED Full Set (Support Move IC) -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-15PLUS-LCD-GX-OLED-FS.jpeg,SKU-69JQ5P,23
Phone 15Pro LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星,RM 396.00,Description Product Specifications and Features: -Phone 15Pro LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PRO-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-QH69DI,27
Phone 15ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星,RM 420.00,Description Product Specifications and Features: -Phone 15ProMax LCD Hua Xing Super-Soft OLED Full Set (Support Move IC)-120HZ 华星 -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-15PM-LCD-HUAXING-SUPER-SOFT-OLED-FS.jpeg,SKU-9PY8J8,74
Phone 16 LCD BYH AA TFT Full Set (Support Move IC),RM 98.40,Description Product Specifications and Features: -Phone 16 LCD BYH AA TFT Full Set (Support Move IC) -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/02/IP-16-LCD-BYH-AA-FS.jpeg,SKU-WW41FY,78
