title,price,description,images,sku,stock
2UUL DA970 Cuul Fan VAC Pro Turbo Fan for Repair,108.00,"Description Features: Rapid Cooling: Quickly lowers temperatures during device repair. Vacuum Cleaning: Powerful suction to remove dust and debris Drying: Efficiently dries surfaces after cleaning or liquid exposure Adjustable Settings: Cycle through P0 to P2 speed modes with a single click LED Light: Double-click the power button to activate after turning on High Performance Design Wind Speed: Optimized for repair tasks, Max 130,000 RPM Portable & Ergonomic, Rotatable nozzle for flexible use",https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-1.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-2.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-3.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-4.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-5.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-6.webp|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5711-7.webp,SKU-CRHQ8V,81
Anti-Static ESD Rubber Floor Mat (600*450*9MM),84.00,Description Anti-Static ESD Rubber Floor Mat (600*450*9MM),https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5712.jpeg,SKU-OOOPV6,96
HAOYI HY Solder Paste Stencil Anti-Explosion Solder Pad S/M/L (3PCS),7.20,Description HAOYI HY Solder Paste Stencil Anti-Explosion Solder Pad S/M/L (3PCS),https://www.cmedistribution.com.my/wp-content/uploads/2026/01/SVC-5710.jpeg,SKU-JGGQMU,52
Honor 400-5G Front Glass + OCA,6.00,Description Product Specifications and Features: -Honor 400-5G Front Glass + OCA,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-400-TS-LENS.jpeg,SKU-1QHM5L,41
Honor Magic 4 Pro LCD ORI Full Set + Fingerprint,300.00,Description Product Specifications and Feartures: -Honor Magic 4 Pro LCD ORI Full Set + Fingerprint -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-4-PRO-LCD-ORI-FINGER.jpeg,SKU-OFX71P,93
Honor Magic 6-5G LCD ORI Full Set,174.00,Description Product Specifications and Features: -Honor Magic 6-5G LCD ORI Full Set -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-MAGIC-6-LCD-ORI-FS.jpeg,SKU-IR0AAU,19
Honor Pad V8 Pro (ROD-W09) LCD ORI Full Set,222.00,Description Product Specifications and Features: -Honor Pad V8 Pro (ROD-W09) LCD ORI Full Set -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-PAD-V8-PRO-LCD-ORI-FS.jpg,SKU-YUNAVE,26
Honor Pad V9 (ROL-W00) LCD ORI Full Set,234.00,Description Product Specifications and Features: -Honor Pad V9 (ROL-W00) LCD ORI Full Set -Warranty 1 Month -Self Damage Will Be No Warranty,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/HONOR-PAD-V9-LCD-ORI-FS.jpg,SKU-7D56QG,73
Phone 12/12Pro Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 12/12Pro Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-0ENP5J,87
Phone 12Mini Sticker Tape For Wireless Charging Heat Dissipation,3.60,Description Product Specifications and Feartures: -Phone 12Mini Sticker Tape For Wireless Charging Heat Dissipation,https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-100x100.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-1024x1024.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-150x150.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-300x300.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-350x350.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-600x600.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE-768x768.jpeg|https://www.cmedistribution.com.my/wp-content/uploads/2026/01/IP-WIRELESS-CC-TAPE.jpeg,SKU-QRZO4L,72
